8 * 2 * 22 * 97 = 34144   -->solution=0
2 * 22 * 97 * 38 = 162184   -->solution=34144
22 * 97 * 38 * 15 = 1216380   -->solution=162184
97 * 38 * 15 * 0 = 0   -->solution=1216380
38 * 15 * 0 * 40 = 0   -->solution=1216380
15 * 0 * 40 * 0 = 0   -->solution=1216380
0 * 40 * 0 * 75 = 0   -->solution=1216380
40 * 0 * 75 * 4 = 0   -->solution=1216380
0 * 75 * 4 * 5 = 0   -->solution=1216380
75 * 4 * 5 * 7 = 10500   -->solution=1216380
4 * 5 * 7 * 78 = 10920   -->solution=1216380
5 * 7 * 78 * 52 = 141960   -->solution=1216380
7 * 78 * 52 * 12 = 340704   -->solution=1216380
78 * 52 * 12 * 50 = 2433600   -->solution=1216380
52 * 12 * 50 * 77 = 2402400   -->solution=2433600
12 * 50 * 77 * 91 = 4204200   -->solution=2433600
50 * 77 * 91 * 8 = 2802800   -->solution=4204200

49 * 49 * 99 * 40 = 9507960   -->solution=4204200
49 * 99 * 40 * 17 = 3298680   -->solution=9507960
99 * 40 * 17 * 81 = 5452920   -->solution=9507960
40 * 17 * 81 * 18 = 991440   -->solution=9507960
17 * 81 * 18 * 57 = 1412802   -->solution=9507960
81 * 18 * 57 * 60 = 4986360   -->solution=9507960
18 * 57 * 60 * 87 = 5355720   -->solution=9507960
57 * 60 * 87 * 17 = 5058180   -->solution=9507960
60 * 87 * 17 * 40 = 3549600   -->solution=9507960
87 * 17 * 40 * 98 = 5797680   -->solution=9507960
17 * 40 * 98 * 43 = 2865520   -->solution=9507960
40 * 98 * 43 * 69 = 11630640   -->solution=9507960
98 * 43 * 69 * 48 = 13956768   -->solution=11630640
43 * 69 * 48 * 4 = 569664   -->solution=13956768
69 * 48 * 4 * 56 = 741888   -->solution=13956768
48 * 4 * 56 * 62 = 666624   -->solution=13956768
4 * 56 * 62 * 0 = 0   -->solution=13956768

81 * 49 * 31 * 73 = 8981847   -->solution=13956768
49 * 31 * 73 * 55 = 6098785   -->solution=13956768
31 * 73 * 55 * 79 = 9832735   -->solution=13956768
73 * 55 * 79 * 14 = 4440590   -->solution=13956768
55 * 79 * 14 * 29 = 1764070   -->solution=13956768
79 * 14 * 29 * 93 = 2982882   -->solution=13956768
